requested_at,confirmed_at,finished_at,predicted_duration
2019-06-13 18:11:39.379000,2019-06-13 18:11:50.705000,2019-06-13 18:28:47.016000,920
2019-06-13 19:33:47.563000,2019-06-13 19:44:20.804000,2019-06-13 20:01:20.410000,808
2019-06-13 22:00:06.200000,2019-06-13 22:00:24.480000,2019-06-13 22:07:46.816000,233
2019-06-14 14:22:44.066000,2019-06-14 14:29:48.250000,2019-06-14 14:44:51.724000,609
2019-06-14 14:34:10.848000,2019-06-14 14:55:03.633000,2019-06-14 14:57:49.041000,337
2019-06-14 16:18:33.996000,2019-06-14 16:18:55.763000,2019-06-14 16:28:36.309000,331
2019-06-14 16:40:59.809000,2019-06-14 16:42:31.931000,2019-06-14 16:52:13.930000,336
2019-06-13 22:46:32.477000,2019-06-13 22:48:36.633000,2019-06-13 22:57:37.505000,378
2019-06-14 14:37:11.435000,2019-06-14 14:57:40.501000,2019-06-14 15:07:49.189000,575
2019-06-14 14:50:52.457000,2019-06-14 14:57:35.321000,2019-06-14 15:01:27.083000,208
2019-06-17 14:13:31.031000,2019-06-17 14:39:34.120000,2019-06-17 14:53:10.737000,654
2019-06-17 15:48:46.379000,2019-06-17 15:49:32.811000,2019-06-17 16:07:57.836000,1043
2019-06-17 13:58:09.835000,2019-06-17 13:59:55.412000,2019-06-17 14:15:06.325000,892
2019-06-17 14:13:57.434000,2019-06-17 14:57:03.446000,2019-06-17 14:57:08.203000,1213
2019-06-17 15:06:36.565000,2019-06-17 15:19:46.867000,2019-06-17 15:19:50.648000,616
2019-06-17 16:26:21.005000,2019-06-17 16:29:07.187000,2019-06-17 16:44:46.524000,669
2019-06-17 16:51:13.209000,2019-06-17 16:56:22.637000,2019-06-17 17:16:21.361000,665
2019-06-18 14:12:51.430000,2019-06-18 14:14:49.268000,2019-06-18 14:24:06.586000,477
2019-06-18 14:30:04.357000,2019-06-18 14:30:46.163000,2019-06-18 14:46:06.064000,796
2019-06-17 18:04:12.948000,2019-06-17 18:04:40.036000,2019-06-17 18:13:55.068000,306
2019-06-17 21:01:14.045000,2019-06-17 21:24:39.880000,2019-06-17 21:46:02.372000,1093
2019-06-17 21:57:47.128000,2019-06-17 22:07:52.568000,2019-06-17 22:23:42.879000,566
2019-06-17 22:38:42.747000,2019-06-17 22:38:53.590000,2019-06-17 22:53:28.275000,461
2019-06-18 15:13:57.921000,2019-06-18 15:15:08.101000,2019-06-18 15:30:41.830000,631
2019-06-18 15:08:41.035000,2019-06-18 15:09:18.944000,2019-06-18 15:13:26.472000,264
2019-06-18 15:42:23.874000,2019-06-18 15:43:19.466000,2019-06-18 15:56:54.139000,556
2019-06-18 16:32:54.326000,2019-06-18 16:39:54.937000,2019-06-18 16:50:34.293000,488
2019-06-18 16:49:14.837000,2019-06-18 17:00:24.270000,2019-06-18 17:07:39.359000,179
2019-06-18 17:31:39.140000,2019-06-18 17:40:14.918000,2019-06-18 17:51:28.530000,798
2019-06-18 16:20:00.627000,2019-06-18 16:20:25.641000,2019-06-18 16:32:44.205000,357
2019-06-18 16:58:33.169000,2019-06-18 17:00:35.892000,2019-06-18 17:15:42.207000,645
2019-06-18 17:36:55.272000,2019-06-18 17:40:20.455000,2019-06-18 17:58:06.615000,1075
2019-06-18 18:33:58.142000,2019-06-18 18:34:52.446000,2019-06-18 18:42:08.857000,326
2019-06-18 19:02:44.042000,2019-06-18 19:15:27.265000,2019-06-18 19:25:29.669000,324
2019-06-19 17:39:51.168000,2019-06-19 18:09:19.902000,2019-06-19 18:18:01.967000,366
2019-06-19 17:46:47.841000,2019-06-19 18:09:31.749000,2019-06-19 18:36:33.796000,889
2019-06-19 19:45:54.849000,2019-06-19 19:47:59.239000,2019-06-19 19:57:02.565000,307
2019-06-19 22:27:15.257000,2019-06-19 22:27:55.203000,2019-06-19 22:37:50.117000,640
2019-06-20 17:42:50.835000,2019-06-20 17:56:37.885000,2019-06-20 18:03:41.198000,218
